"yearNumber","Time","dcAnnualHealthUS","dcOUDNoTxExcess","dcOUDTxExcess","dcMethadone","dcBuprenorphine","dcNaltrexone","dcOverdoseNonfatal","dcOverdoseFatal","dcNetProductivity","dcCM","dcTherapy","dcHubSpoke","dcED","dcTH","nRun"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,7025.4055951991,5692.79413305981,13157.5283656831,3558.84462874406,2900.89910868014,627587.122304901,2701.54397299192,4319.47155532637,34868.8587084758,545.319821545642,0,"499"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,6820.78213126126,5526.9845952037,12774.2993841583,3455.18895994569,2816.4069016312,609307.885732914,2622.85822620575,4193.66170420036,33853.2608820153,529.436719947225,0,"499"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,6622.11857404006,5366.00446136282,12402.2324118042,3354.55238829679,2734.37563265165,591561.054109625,2546.46429728713,4071.51621767025,32867.2435747721,514.016232958471,0,"499"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,6429.24133401948,5209.71306928429,12041.0023415575,3256.84697892892,2654.73362393364,574331.120494782,2472.29543425935,3952.92836667014,31909.9452182254,499.044886367448,0,"499"
0,2021,6520,7598,6078,5696.55620853393,7299.64987530839,13055.2775732572,4376.93,3567.74,771853,0,0,0,0,0,"500"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,5530.63709566401,7087.03871389164,12675.0267701526,4249.44660194175,3463.82524271845,749371.844660194,1211.66832355427,1241.32212043007,9404.84276041366,160.590459993417,0,"500"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,5369.55057831458,6880.62011057441,12305.8512331579,4125.6763125648,3362.93712885286,727545.480252616,2352.75402631897,2410.33421442733,18261.830602745,311.826135909547,0,"500"
3,2024,5966.7236189826,6953.24632776531,5562.2310055485,5213.15590127629,6680.2136995868,11947.4283817067,4005.51098307263,3264.98750374064,706354.835196714,3426.34081502762,3510.19545790388,26594.8989360364,454.115731907107,0,"500"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,5061.3164090061,6485.64436853087,11599.4450307832,3888.84561463362,3169.89078033072,685781.393394868,3326.54448060934,3407.95675524648,25820.2902291615,440.889060103987,0,"500"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,4913.89942621952,6296.74210536978,11261.5971172652,3775.57826663458,3077.56386439876,665807.17805327,3229.65483554305,3308.69587888008,25068.2429409335,428.04763116892,0,"500"
